<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20090828,28-08-09,28.2422,28.3182,28.0904,28.2434,152950
BBC,20090827,27-08-09,26.9516,28.2422,26.9516,28.0916,276910
BBC,20090826,26-08-09,27.0275,27.3312,26.9516,26.9527,262150
BBC,20090825,25-08-09,27.8626,27.8626,27.1794,27.1805,221520
BBC,20090824,24-08-09,27.559,27.9386,27.559,27.5601,273180
BBC,20090821,21-08-09,28.47,28.6978,27.3312,27.4083,396930
BBC,20090820,20-08-09,28.8496,28.8496,28.0145,28.0916,350650
BBC,20090819,19-08-09,27.9386,28.6978,27.483,28.699,419960
BBC,20090818,18-08-09,27.483,28.0904,27.3312,27.3324,240360
BBC,20090817,17-08-09,27.7108,28.0145,27.3312,27.4842,298750
BBC,20090814,14-08-09,26.5754,27.6205,26.1275,26.8759,405080
BBC,20090813,13-08-09,27.6205,27.9938,26.874,26.8759,655950
BBC,20090812,12-08-09,28.7403,28.7403,27.4712,27.4732,686790
BBC,20090811,11-08-09,29.1135,29.4121,28.367,28.8916,835720
BBC,20090810,10-08-09,28.8896,28.8896,28.7403,28.8916,510500
BBC,20090807,07-08-09,27.5459,27.5459,27.5459,27.5478,882680
BBC,20090806,06-08-09,25.7543,26.2768,25.4557,26.2787,1364650
BBC,20090805,05-08-09,24.1866,25.0824,23.9627,25.0842,211770
BBC,20090804,04-08-09,24.2613,24.4852,23.888,23.8897,86120
BBC,20090803,03-08-09,23.888,24.5599,23.5148,24.263,118570
BBC,20090731,31-07-09,24.1866,24.2613,23.888,24.263,108010
BBC,20090730,30-07-09,22.9922,24.5599,22.9922,23.8897,36460
BBC,20090729,29-07-09,24.6345,25.0078,23.5148,23.5164,60180
BBC,20090728,28-07-09,25.0078,25.5303,24.2613,24.263,269970
BBC,20090727,27-07-09,25.605,25.605,24.0373,25.5321,391090
BBC,20090724,24-07-09,24.4106,24.4106,24.4106,24.4123,39460
BBC,20090723,23-07-09,22.9922,23.2908,22.395,23.2925,82090
BBC,20090722,22-07-09,22.395,23.1415,22.395,23.0685,65350
BBC,20090721,21-07-09,21.6485,22.395,21.6485,22.3966,61790
BBC,20090720,20-07-09,21.6485,21.9471,21.5739,21.65,50400
BBC,20090717,17-07-09,22.0964,22.3204,21.7978,22.0233,36090
BBC,20090716,16-07-09,22.9176,22.9922,22.0218,22.3966,84580
BBC,20090715,15-07-09,21.2753,22.1711,21.2753,21.9487,61380
BBC,20090714,14-07-09,21.4992,21.6485,21.2006,21.5007,218790
BBC,20090713,13-07-09,22.395,22.395,21.2753,21.5007,132260
BBC,20090710,10-07-09,23.1415,23.1415,22.395,22.3966,97120
BBC,20090709,09-07-09,23.5894,23.888,23.1415,23.1431,56390
BBC,20090708,08-07-09,23.1415,24.2613,23.1415,23.7404,161040
BBC,20090707,07-07-09,24.112,24.112,22.395,23.8897,213060
BBC,20090706,06-07-09,22.9176,23.0669,22.9176,23.0685,354670
BBC,20090703,03-07-09,21.6485,22.0218,21.6485,22.0233,34590
BBC,20090702,02-07-09,21.5739,22.395,21.5739,22.3966,76220
