<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20120807,07-08-12,11.8221,11.8723,11.797,11.8501,144950
FPT,20120806,06-08-12,11.797,11.9225,11.797,11.8501,148440
FPT,20120803,03-08-12,11.797,11.8723,11.797,11.8752,159240
FPT,20120802,02-08-12,11.797,11.9476,11.797,11.8501,89910
FPT,20120801,01-08-12,11.8723,11.9225,11.8221,11.8501,134550
FPT,20120731,31-07-12,11.9225,12.048,11.9225,11.9505,142000
FPT,20120730,30-07-12,12.048,12.299,12.048,12.2267,188880
FPT,20120727,27-07-12,12.0982,12.0982,11.9978,12.051,116650
FPT,20120726,26-07-12,11.8472,11.9978,11.8472,12.0008,88280
FPT,20120725,25-07-12,12.299,12.299,11.9225,11.9254,178060
FPT,20120724,24-07-12,11.8221,12.3994,11.8221,12.3522,297120
FPT,20120723,23-07-12,11.8221,11.8221,11.7719,11.825,61190
FPT,20120720,20-07-12,11.9727,12.0229,11.8221,11.825,83160
FPT,20120719,19-07-12,11.797,11.8472,11.7468,11.8501,62810
FPT,20120718,18-07-12,11.8974,11.8974,11.797,11.825,54300
FPT,20120717,17-07-12,11.8472,11.8723,11.797,11.8752,38870
FPT,20120716,16-07-12,12.1233,12.1233,11.8472,11.8752,23050
FPT,20120713,13-07-12,11.8472,12.048,11.797,12.0008,30930
FPT,20120712,12-07-12,11.797,11.8221,11.797,11.825,20870
FPT,20120711,11-07-12,11.797,11.8221,11.7468,11.825,40600
FPT,20120710,10-07-12,11.797,11.8472,11.797,11.7999,27540
FPT,20120709,09-07-12,11.6715,11.9225,11.6715,11.825,14410
FPT,20120706,06-07-12,11.9978,11.9978,11.9225,11.9254,26770
FPT,20120705,05-07-12,11.9225,11.9476,11.8472,11.9254,35790
FPT,20120704,04-07-12,11.9225,11.9225,11.797,11.8501,18440
FPT,20120703,03-07-12,11.9978,11.9978,11.797,11.7999,12120
FPT,20120702,02-07-12,11.9727,12.1484,11.797,11.825,131390
FPT,20120629,29-06-12,11.9225,12.0229,11.8221,11.825,4970
FPT,20120628,28-06-12,12.2237,12.2237,11.8221,11.825,36470
FPT,20120627,27-06-12,12.299,12.299,12.1986,12.2016,73780
FPT,20120626,26-06-12,12.1986,12.2488,12.1986,12.2016,31110
FPT,20120625,25-06-12,12.2739,12.3743,12.2739,12.302,42840
FPT,20120622,22-06-12,12.3241,12.3492,12.299,12.302,67350
FPT,20120621,21-06-12,12.3492,12.3743,12.299,12.3522,50360
FPT,20120620,20-06-12,12.4245,12.4245,12.3241,12.3773,89720
FPT,20120619,19-06-12,12.299,12.3492,12.2739,12.3271,103760
FPT,20120618,18-06-12,12.4496,12.4496,12.2739,12.3271,34490
FPT,20120615,15-06-12,12.3241,12.3241,12.2488,12.2769,108970
FPT,20120614,14-06-12,12.3492,12.3492,12.2237,12.2518,70750
FPT,20120613,13-06-12,12.3492,12.3492,12.2739,12.302,71920
FPT,20120612,12-06-12,12.3241,12.3492,12.2739,12.302,85420
FPT,20120611,11-06-12,12.3994,12.3994,12.2237,12.3271,41690
FPT,20120608,08-06-12,12.4245,12.55,12.299,12.302,82110
FPT,20120607,07-06-12,12.4496,12.4496,12.3743,12.3773,32200
FPT,20120606,06-06-12,12.3994,12.3994,12.2739,12.3773,53290
FPT,20120605,05-06-12,12.2237,12.3241,12.2237,12.302,146830
FPT,20120604,04-06-12,12.3743,12.3743,12.299,12.302,99040
