<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20170327,27-03-17,16.8624,17.0029,16.5345,16.6287,7212840
BID,20170324,24-03-17,16.5345,16.7687,16.3003,16.7692,8242990
BID,20170323,23-03-17,16.3003,16.5345,16.113,16.3477,3455890
BID,20170322,22-03-17,16.3003,16.5345,16.2066,16.3008,9321930
BID,20170321,21-03-17,15.7382,16.3003,15.7382,16.3008,10006770
BID,20170320,20-03-17,15.6446,15.7382,15.4104,15.6919,3017280
BID,20170317,17-03-17,15.3167,15.6914,15.2698,15.645,4646040
BID,20170316,16-03-17,15.4104,15.504,15.223,15.3172,1860750
BID,20170315,15-03-17,15.2698,15.4104,15.223,15.4108,1177930
BID,20170314,14-03-17,15.3167,15.4572,15.2698,15.364,2190590
BID,20170313,13-03-17,15.4572,15.504,15.2698,15.4577,1377930
BID,20170310,10-03-17,15.504,15.8319,15.504,15.5045,2210220
BID,20170309,09-03-17,15.5509,15.8788,15.504,15.7387,4635690
BID,20170308,08-03-17,15.3635,15.6914,15.2698,15.5514,2091720
BID,20170307,07-03-17,15.5509,15.5509,15.3635,15.4577,1229860
BID,20170306,06-03-17,15.5509,15.6446,15.3635,15.5514,2663090
BID,20170303,03-03-17,15.0825,15.3635,14.8014,15.364,3291400
BID,20170302,02-03-17,15.3635,15.4572,15.0356,15.0361,2357980
BID,20170301,01-03-17,15.4104,15.4104,15.0825,15.2703,2971500
BID,20170228,28-02-17,15.5977,15.6446,15.3635,15.4108,1374710
BID,20170227,27-02-17,15.6446,15.6446,15.4104,15.645,1299320
BID,20170224,24-02-17,15.4572,15.7382,15.4572,15.5982,2717550
BID,20170223,23-02-17,15.5509,15.6446,15.3167,15.5982,1917960
BID,20170222,22-02-17,15.6914,15.7382,15.4572,15.5514,2027200
BID,20170221,21-02-17,15.5977,15.7851,15.5977,15.645,3466220
BID,20170220,20-02-17,15.7382,15.7851,15.4572,15.5514,4319650
BID,20170217,17-02-17,15.8319,15.9724,15.6914,15.8324,2315410
BID,20170216,16-02-17,16.1598,16.3472,15.9256,15.9261,4207540
