<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20170601,01-06-17,12.6265,12.7085,12.6265,12.7097,57460
CMG,20170531,31-05-17,12.4625,12.6265,12.4625,12.6277,2910
CMG,20170530,30-05-17,12.0935,12.4625,12.0935,12.4637,11260
CMG,20170529,29-05-17,12.6265,12.7085,12.0935,12.0947,10610
CMG,20170526,26-05-17,12.8724,12.8724,12.2575,12.2997,14100
CMG,20170525,25-05-17,12.1345,12.8724,12.0525,12.8737,24890
CMG,20170524,24-05-17,12.1345,12.1345,11.9705,12.1357,13930
CMG,20170523,23-05-17,12.0525,12.0525,11.8886,12.0537,13900
CMG,20170522,22-05-17,11.8066,11.8066,11.7246,11.8077,11930
CMG,20170519,19-05-17,11.5606,11.7246,11.4786,11.7257,7160
CMG,20170518,18-05-17,11.6426,11.7246,11.6426,11.7257,2730
CMG,20170517,17-05-17,11.8886,11.8886,11.6016,11.7667,2580
CMG,20170516,16-05-17,11.8886,12.1345,11.8886,11.8897,160
CMG,20170515,15-05-17,11.6426,11.8886,11.4786,11.8897,15290
CMG,20170512,12-05-17,11.4786,11.6426,11.4376,11.6437,1310
CMG,20170511,11-05-17,11.7246,11.7246,11.5606,11.6437,7080
CMG,20170510,10-05-17,11.8886,11.8886,11.4786,11.5617,2410
CMG,20170509,09-05-17,11.7656,11.8066,11.6426,11.8077,8290
CMG,20170508,08-05-17,11.8066,11.8476,11.8066,11.8077,13840
CMG,20170505,05-05-17,11.8886,11.8886,11.4786,11.8487,10960
CMG,20170504,04-05-17,11.8066,11.8066,11.4786,11.8077,11600
CMG,20170503,03-05-17,11.4786,11.8886,11.4786,11.8487,11310
CMG,20170428,28-04-17,12.0115,12.0115,11.7246,11.8077,2930
CMG,20170427,27-04-17,11.6426,12.0525,11.6426,11.8077,6180
CMG,20170426,26-04-17,12.1345,12.1345,11.6016,11.6027,860
CMG,20170425,25-04-17,11.7246,12.1345,11.0277,12.1357,3010
CMG,20170424,24-04-17,11.4786,12.1755,11.0687,11.8077,14540
CMG,20170421,21-04-17,11.7246,11.7246,11.6836,11.6847,2100
CMG,20170420,20-04-17,11.8066,11.8066,11.4786,11.8077,8260
CMG,20170419,19-04-17,11.8886,11.8886,11.8886,11.8897,720
CMG,20170418,18-04-17,11.8886,11.8886,11.8886,11.8897,120
CMG,20170417,17-04-17,11.5606,11.8886,11.4786,11.4797,8090
CMG,20170414,14-04-17,12.1755,12.1755,12.1755,12.1767,100
CMG,20170413,13-04-17,12.1755,12.2165,11.8886,12.2177,690
CMG,20170412,12-04-17,12.1345,12.1345,11.8886,12.1357,2020
CMG,20170411,11-04-17,11.8886,11.9705,11.7246,11.9717,800
CMG,20170410,10-04-17,11.8886,12.0525,11.8886,12.0537,30
CMG,20170407,07-04-17,11.9705,11.9705,11.6426,11.8897,2820
CMG,20170405,05-04-17,11.8886,11.9705,11.8886,11.9717,2210
CMG,20170404,04-04-17,12.5445,12.5445,12.2985,12.2997,11010
CMG,20170403,03-04-17,11.7246,12.2985,11.7246,12.2177,1460
CMG,20170331,31-03-17,11.7246,11.7246,11.7246,11.7257,300
CMG,20170330,30-03-17,12.2165,12.2985,11.7246,12.2997,1970
CMG,20170329,29-03-17,12.8724,12.8724,12.2985,12.2997,80
CMG,20170328,28-03-17,12.5445,12.5445,12.2985,12.2997,5960
CMG,20170327,27-03-17,12.5855,12.6265,12.5445,12.5457,11910
CMG,20170324,24-03-17,12.5445,12.5445,12.4625,12.4637,7330
CMG,20170323,23-03-17,12.5445,12.7085,12.4625,12.4637,1590
CMG,20170322,22-03-17,12.2575,12.5445,12.2575,12.5457,78510
CMG,20170321,21-03-17,12.2985,12.7085,12.2985,12.2997,1970
CMG,20170320,20-03-17,12.1345,12.2575,11.9295,12.2587,4030
CMG,20170317,17-03-17,12.0525,12.0525,12.0525,12.0537,3200
CMG,20170316,16-03-17,12.0525,12.0525,12.0525,12.0537,320
CMG,20170315,15-03-17,12.0525,12.0525,12.0525,12.0537,5070
CMG,20170314,14-03-17,12.0525,12.0525,12.0525,12.0537,410
CMG,20170313,13-03-17,11.5196,12.0525,11.5196,12.0537,1230
CMG,20170310,10-03-17,11.9705,12.0935,11.7246,11.9717,2520
CMG,20170308,08-03-17,11.8886,12.0935,11.8886,12.0947,2440
CMG,20170307,07-03-17,11.8886,12.1345,11.8066,12.1357,6130
CMG,20170306,06-03-17,11.8886,11.9295,11.8886,11.8897,1090
CMG,20170303,03-03-17,12.1345,12.2165,12.0525,12.0537,2610
CMG,20170302,02-03-17,12.3805,12.3805,11.8886,12.2177,5020
CMG,20170301,01-03-17,12.1345,12.1345,12.1345,12.1357,10
CMG,20170228,28-02-17,11.8886,12.1345,11.8886,11.8897,11170
CMG,20170227,27-02-17,11.8886,12.0525,11.8886,11.8897,6760
CMG,20170224,24-02-17,12.0525,12.1345,11.8066,11.8077,17190
CMG,20170223,23-02-17,12.1345,12.1345,11.7246,12.0537,10480
CMG,20170222,22-02-17,12.2165,12.2165,11.6426,12.1357,2370
CMG,20170221,21-02-17,12.2165,12.2985,11.3966,12.1357,7240
CMG,20170220,20-02-17,12.2985,12.2985,12.0525,12.2177,29310
CMG,20170217,17-02-17,12.2165,12.2165,11.8066,12.2177,20140
CMG,20170216,16-02-17,12.0525,12.2165,12.0525,12.1767,51590
