<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190418,18-04-19,88.8302,89.4231,87.0516,87.9409,609680
VHM,20190417,17-04-19,89.9171,90.8064,88.6326,88.7314,761350
VHM,20190416,16-04-19,88.929,90.8064,86.7552,89.9171,913790
VHM,20190412,12-04-19,92.2792,92.4768,90.896,92.1897,299590
VHM,20190411,11-04-19,91.6957,92.6838,91.1028,92.3874,233360
VHM,20190410,10-04-19,92.6838,92.6838,91.2016,91.3993,328400
VHM,20190409,09-04-19,93.8695,94.8576,91.8933,92.6838,973210
VHM,20190408,08-04-19,91.8933,93.4743,91.5969,93.4743,657320
VHM,20190405,05-04-19,91.3993,92.0909,91.004,91.4981,454260
VHM,20190404,04-04-19,90.9052,91.6957,90.2135,90.9052,489550
VHM,20190403,03-04-19,91.1028,91.1028,90.0159,90.9052,281350
VHM,20190402,02-04-19,92.2792,92.5756,90.896,91.1028,359690
VHM,20190401,01-04-19,91.2912,92.6744,90.6984,91.3004,334480
VHM,20190329,29-03-19,92.872,93.1684,90.402,90.4111,1054060
VHM,20190328,28-03-19,89.2164,92.1804,88.92,91.9921,894540
VHM,20190327,27-03-19,89.908,89.908,88.8212,89.0278,389620
VHM,20190326,26-03-19,88.929,89.6207,88.435,88.8302,617980
VHM,20190325,25-03-19,88.435,88.435,86.4588,87.9409,793070
VHM,20190322,22-03-19,87.932,90.1056,86.944,90.0159,957080
VHM,20190321,21-03-19,91.884,91.884,87.1416,87.1504,1009930
VHM,20190320,20-03-19,91.9828,92.2792,89.908,91.1028,1061950
VHM,20190319,19-03-19,93.8695,94.0671,92.3874,92.8814,1100900
VHM,20190318,18-03-19,92.872,93.7612,92.872,93.1778,1056390
VHM,20190315,15-03-19,92.872,92.872,91.39,92.1897,2496760
VHM,20190314,14-03-19,93.1778,93.4743,91.6957,92.8814,708190
VHM,20190313,13-03-19,91.4981,94.8576,91.3993,92.8814,1654850
VHM,20190312,12-03-19,90.1056,91.4888,89.8092,91.2016,864570
VHM,20190311,11-03-19,89.9171,91.2016,88.929,88.929,533740
VHM,20190308,08-03-19,90.896,91.7852,90.3032,90.4111,699850
VHM,20190307,07-03-19,90.9052,94.1659,90.8064,90.9052,1306970
VHM,20190306,06-03-19,89.9171,90.8064,89.7195,90.7076,592410
VHM,20190305,05-03-19,91.1028,91.7945,89.4231,89.9171,1152650
VHM,20190304,04-03-19,90.896,92.378,88.5248,92.0909,910620
VHM,20190301,01-03-19,87.4469,90.3123,86.4588,89.9171,806340
VHM,20190228,28-02-19,91.004,91.2016,86.4588,86.4588,1270190
VHM,20190227,27-02-19,91.8933,92.1897,90.4112,91.5969,896260
VHM,20190226,26-02-19,90.9052,91.8933,88.929,90.9052,1103360
VHM,20190225,25-02-19,93.3755,93.9683,90.2135,90.9052,838040
VHM,20190222,22-02-19,93.86,95.342,91.5876,91.9921,950950
VHM,20190221,21-02-19,89.4231,95.5493,88.1385,95.5493,1209870
VHM,20190220,20-02-19,85.956,89.7104,85.956,89.3242,815580
VHM,20190219,19-02-19,81.5183,86.6564,81.5183,85.9647,1244300
VHM,20190218,18-02-19,80.5302,81.0242,79.8385,81.0242,607000
VHM,20190215,15-02-19,81.016,81.016,80.1268,80.2337,422250
